"","time","use..kW.","day","hour"
"285",2020-01-13 01:00:00,68.054850003,1,1
"286",2020-01-13 02:00:00,53.519183336,1,2
"287",2020-01-13 03:00:00,75.246283332,1,3
"288",2020-01-13 04:00:00,67.044533332,1,4
"289",2020-01-13 05:00:00,51.367116665,1,5
"290",2020-01-13 06:00:00,60.6418,1,6
"291",2020-01-13 07:00:00,53.6237,1,7
"292",2020-01-13 08:00:00,52.462583334,1,8
"293",2020-01-13 09:00:00,62.243450002,1,9
"294",2020-01-13 10:00:00,85.148050001,1,10
"295",2020-01-13 11:00:00,76.9655,1,11
"296",2020-01-13 12:00:00,92.704816668,1,12
"297",2020-01-13 13:00:00,107.474583337,1,13
"298",2020-01-13 14:00:00,70.88385,1,14
"299",2020-01-13 15:00:00,75.934083335,1,15
"300",2020-01-13 16:00:00,32.88395,1,16
"301",2020-01-13 17:00:00,34.267933335,1,17
"302",2020-01-13 18:00:00,16.528250001,1,18
"303",2020-01-13 19:00:00,21.416966668,1,19
"304",2020-01-13 20:00:00,40.132449999,1,20
"305",2020-01-13 21:00:00,95.924999999,1,21
"306",2020-01-13 22:00:00,83.951650003,1,22
"307",2020-01-13 23:00:00,82.841499999,1,23
"308",2020-01-14 00:00:00,88.932633334,2,0
"309",2020-01-14 01:00:00,77.891133334,2,1
"310",2020-01-14 02:00:00,75.850683335,2,2
"311",2020-01-14 03:00:00,40.296483331,2,3
"312",2020-01-14 04:00:00,44.489949998,2,4
"313",2020-01-14 05:00:00,40.83425,2,5
"314",2020-01-14 06:00:00,65.990850001,2,6
"315",2020-01-14 07:00:00,49.763733335,2,7
"316",2020-01-14 08:00:00,51.880216664,2,8
"317",2020-01-14 09:00:00,66.585033332,2,9
"318",2020-01-14 10:00:00,74.257183332,2,10
"319",2020-01-14 11:00:00,73.074283334,2,11
"320",2020-01-14 12:00:00,86.669799999,2,12
"321",2020-01-14 13:00:00,84.895483332,2,13
"322",2020-01-14 14:00:00,50.111866662,2,14
"323",2020-01-14 15:00:00,47.918033335,2,15
"324",2020-01-14 16:00:00,16.08965,2,16
"325",2020-01-14 17:00:00,58.155766664,2,17
"326",2020-01-14 18:00:00,37.194366666,2,18
"327",2020-01-14 19:00:00,29.555916668,2,19
"328",2020-01-14 20:00:00,29.526183335,2,20
"329",2020-01-14 21:00:00,75.134733337,2,21
"330",2020-01-14 22:00:00,66.988166664,2,22
"331",2020-01-14 23:00:00,68.245200001,2,23
"332",2020-01-15 00:00:00,86.540116664,3,0
"333",2020-01-15 01:00:00,68.891366669,3,1
"334",2020-01-15 02:00:00,45.910966668,3,2
"335",2020-01-15 03:00:00,61.476083332,3,3
"336",2020-01-15 04:00:00,62.015450001,3,4
"337",2020-01-15 05:00:00,49.198916666,3,5
"338",2020-01-15 06:00:00,43.481266668,3,6
"339",2020-01-15 07:00:00,45.960750001,3,7
"340",2020-01-15 08:00:00,54.824883336,3,8
"341",2020-01-15 09:00:00,47.700983331,3,9
"342",2020-01-15 10:00:00,76.568366669,3,10
"343",2020-01-15 11:00:00,52.95671667,3,11
"344",2020-01-15 12:00:00,85.213033338,3,12
"345",2020-01-15 13:00:00,46.226000003,3,13
"346",2020-01-15 14:00:00,29.378516664,3,14
"347",2020-01-15 15:00:00,16.979983331,3,15
"348",2020-01-15 16:00:00,28.208249997,3,16
"349",2020-01-15 17:00:00,25.689483335,3,17
"350",2020-01-15 18:00:00,14.290916669,3,18
"351",2020-01-15 19:00:00,20.803416669,3,19
"352",2020-01-15 20:00:00,43.932416668,3,20
"353",2020-01-15 21:00:00,74.604583333,3,21
"354",2020-01-15 22:00:00,57.72068333,3,22
"355",2020-01-15 23:00:00,84.942583329,3,23
"356",2020-01-16 00:00:00,79.9334,4,0
"357",2020-01-16 01:00:00,97.824266668,4,1
"358",2020-01-16 02:00:00,49.211233332,4,2
"359",2020-01-16 03:00:00,51.73285,4,3
"360",2020-01-16 04:00:00,68.299866666,4,4
"361",2020-01-16 05:00:00,73.469283334,4,5
"362",2020-01-16 06:00:00,34.842116662,4,6
"363",2020-01-16 07:00:00,43.476733334,4,7
"364",2020-01-16 08:00:00,44.741683336,4,8
"365",2020-01-16 09:00:00,49.199233334,4,9
"366",2020-01-16 10:00:00,48.640666672,4,10
"367",2020-01-16 11:00:00,54.820883336,4,11
"368",2020-01-16 12:00:00,68.961949998,4,12
"369",2020-01-16 13:00:00,51.203416668,4,13
"370",2020-01-16 14:00:00,50.941316669,4,14
"371",2020-01-16 15:00:00,44.18375,4,15
"372",2020-01-16 16:00:00,50.148616667,4,16
"373",2020-01-16 17:00:00,39.077316667,4,17
"374",2020-01-16 18:00:00,66.546866666,4,18
"375",2020-01-16 19:00:00,67.699683332,4,19
"376",2020-01-16 20:00:00,68.800883335,4,20
"377",2020-01-16 21:00:00,88.773533334,4,21
"378",2020-01-16 22:00:00,70.948816663,4,22
"379",2020-01-16 23:00:00,92.820366664,4,23
"380",2020-01-17 00:00:00,89.782366667,5,0
"381",2020-01-17 01:00:00,90.808533333,5,1
"382",2020-01-17 02:00:00,102.492016662,5,2
"383",2020-01-17 03:00:00,85.704766667,5,3
"384",2020-01-17 04:00:00,65.78735,5,4
"385",2020-01-17 05:00:00,44.16718333,5,5
"386",2020-01-17 06:00:00,38.480583337,5,6
"387",2020-01-17 07:00:00,54.723666668,5,7
"388",2020-01-17 08:00:00,34.966249998,5,8
"389",2020-01-17 09:00:00,63.681266665,5,9
"390",2020-01-17 10:00:00,49.799516666,5,10
"391",2020-01-17 11:00:00,52.559150002,5,11
"392",2020-01-17 12:00:00,80.787449999,5,12
"393",2020-01-17 13:00:00,86.255616669,5,13
"394",2020-01-17 14:00:00,44.095283334,5,14
"395",2020-01-17 15:00:00,37.025066669,5,15
"396",2020-01-17 16:00:00,51.968900004,5,16
"397",2020-01-17 17:00:00,39.631299996,5,17
"398",2020-01-17 18:00:00,67.331349998,5,18
"399",2020-01-17 19:00:00,82.996583332,5,19
"400",2020-01-17 20:00:00,46.954033332,5,20
"401",2020-01-17 21:00:00,89.798349999,5,21
"402",2020-01-17 22:00:00,104.657349999,5,22
"403",2020-01-17 23:00:00,95.667833336,5,23
"404",2020-01-18 00:00:00,158.019800003,6,0
"405",2020-01-18 01:00:00,172.098766667,6,1
"406",2020-01-18 02:00:00,158.291899997,6,2
"407",2020-01-18 03:00:00,106.122533335,6,3
"408",2020-01-18 04:00:00,58.732183334,6,4
"409",2020-01-18 05:00:00,36.364483332,6,5
"410",2020-01-18 06:00:00,38.416716668,6,6
"411",2020-01-18 07:00:00,43.993449999,6,7
"412",2020-01-18 08:00:00,54.193000002,6,8
"413",2020-01-18 09:00:00,60.166866669,6,9
"414",2020-01-18 10:00:00,80.596600001,6,10
"415",2020-01-18 11:00:00,51.936233331,6,11
"416",2020-01-18 12:00:00,55.096550002,6,12
"417",2020-01-18 13:00:00,64.146333333,6,13
"418",2020-01-18 14:00:00,94.024716666,6,14
"419",2020-01-18 15:00:00,107.992216665,6,15
"420",2020-01-18 16:00:00,108.416100002,6,16
"421",2020-01-18 17:00:00,127.916700002,6,17
"422",2020-01-18 18:00:00,119.564599998,6,18
"423",2020-01-18 19:00:00,88.615933334,6,19
"424",2020-01-18 20:00:00,81.892550005,6,20
"425",2020-01-18 21:00:00,117.790200003,6,21
"426",2020-01-18 22:00:00,146.050583334,6,22
"427",2020-01-18 23:00:00,115.036350001,6,23
